value	quote_count	file_key	quote_keys
वायवीयसंहिता	1	vAyavIyasaMhitA	samxipyach
वायुपुराणम्	1	vAyupurANam	itihAsapurAmAmA
वाल्मीकिः	1	vAlmIkiH	chamchachamdrak
वाल्मीकिः - रामायणम् - अयोध्याकाण्डः	1	vAlmIkiH_-_rAmAyaNam_-_ayodhyAkANDaH	maivAyodhy
वाल्मीकीयरामायणम्	1	vAlmIkIyarAmAyaNam	yadamtaram
वासुकिः - मुक्तकम्	2	vAsukiH_-_muktakam	mahAmadIya, sayaxapreS
वासुकिज-विश्वासः - मुक्तकम्	2	vAsukija-vishvAsaH_-_muktakam	mamerudamD, vicheShTit
विकटनितम्बा	1	vikaTanitambA	kAlemASham
विक्रमोर्वशीयम्	1	vikramorvashIyam	parasparav
विजय-जयानन्दः	1	vijaya-jayAnandaH	jIvamtipIt
विज्जिका	4	vijjikA	ekobhUmali, gatepremAb, mIlotpalad, yashaHputr
विदुरः	2	viduraH	ekayAdvevi, jalabimdum
विद्या	1	vidyA	kimvRtAmta
विश्वासः	2	vishvAsaH	drAviDAvAm, vArtAharam
विष्णुः	1	viShNuH	shrutismRtImama
विष्णुपुराणम्	1	viShNupurANam	virodhamot
विष्णुरहस्यम्	2	viShNurahasyam	smAmopavAs, tadetatriv
वीणा	1	vINA	pratimisha
वीणा - मुक्तकम्	1	vINA_-_muktakam	athamixipy
वीणोदयनपत्नी - मुक्तकम्	1	vINodayanapatnI_-_muktakam	sthAmakast
वेङ्कटनाथः - रहस्यत्रयसारः	1	venkaTanAthaH_-_rahasyatrayasAraH	kalakamTha
वेङ्कटनाथः - शतदूषणी	1	venkaTanAthaH_-_shatadUShaNI	idampratha
वेङ्कटनाथार्यः	2	venkaTanAthAryaH	sadbuddhiH, siddhamsat
वेङ्कटाध्वरी	1	venkaTAdhvarI	avemavyApA
वेणीसंहारम्	1	veNIsaMhAram	grahAmAmch
वेणुगोपालः	1	veNugopAlaH	tvachCharI
वेदान्तदेशिकः	5		
